电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,主演,Slogan,简介
肖申克的救赎,(1994),1995-06-03 (JP),"剧情, 犯罪",2h 22m,87,英语,弗兰克·德拉邦特,斯蒂芬·金,"Andy Dufresne, Ellis Boyd 'Red' Redding, Warden Norton, Heywood, Captain Byron T. Hadley, Tommy, Brooks Hatlen, Bogs Diamond, 1946 D.A.",恐惧会将你囚禁，希望则能让你获得自由。,安迪·杜佛兰被错判谋杀妻子及其情人，在缅因州肖申克服刑，判处两项无期徒刑接连执行。影片背景设定于1940年代，展现安迪如何在残酷的监狱环境中艰难求生，甚至赢得狱友们的敬重——尤其是与老囚徒“瑞德”·雷丁之间深厚的友谊。
教父,(1972),1972-07-15 (JP),"剧情, 犯罪",2h 55m,87,英语,弗朗西斯·科波拉,马里奥·普佐,"Don Vito Corleone, Michael Corleone, Sonny Corleone, Tom Hagen, Clemenza, Kay Adams, Connie Corleone Rizzi, Carlo Rizzi, Captain McCluskey",一份你无法拒绝的邀约。,40年代的美国，“教父”维托·唐·柯里昂是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。因为拒绝了毒枭索洛索的毒品交易要求，柯里昂家族和纽约其他几个黑手党家族的矛盾激化、圣诞前夕，索洛索劫持了“教父”的参谋汤姆，并派人暗杀“教父”；因为内奸的出卖，“教父”的大儿子逊尼被仇家杀害；小儿子麦克也被卷了进来，失去爱妻。黑手党家族之间的矛盾越来越白热化。年老的“教父”面对丧子之痛怎样统领全局？黑手党之间的仇杀如何落幕？谁是家族的内奸？谁又能够成为新一代的“教父”？血雨腥风和温情脉脉，在这部里程碑式的黑帮史诗巨片里真实上演。
教父2,(1974),1975-04-26 (JP),"剧情, 犯罪",3h 20m,86,英语,弗朗西斯·科波拉,马里奥·普佐,"Don Michael Corleone, Tom Hagen, Kay Corleone, Vito Corleone, Frederico 'Fredo' Corleone, Constanzia 'Connie' Corleone, Hyman Roth, Frank Pentangeli, Senator Pat Geary",柯里昂帝国的兴衰史。,作为《教父》的续篇，影片延续了科莱昂家族两代权力交替的史诗。科波拉在第二部分中讲述了两条故事线：由罗伯特·德尼罗以非凡演技演绎的年轻教父维托的根源与崛起，以及迈克尔（阿尔·帕西诺饰）作为新任教父的上位之路。
辛德勒的名单,(1993),1994-02-26 (JP),"剧情, 历史, 战争",3h 15m,86,英语,史蒂文·斯皮尔伯格,托马斯·肯尼利,"Oskar Schindler, Itzhak Stern, Amon Goeth, Emilie Schindler, Poldek Pfefferberg, Helen Hirsch, Viktoria Klonowska, Wilek Chilowicz, Marcel Goldberg",谁拯救了一条生命，谁就拯救了整个世界。,1939年，波兰在纳粹德国的统治下，党卫军对犹太人进行了隔离统治。德国商人奥斯卡·辛德勒（连姆·尼森 Liam Neeson 饰）来到德军统治下的克拉科夫，开设了一间搪瓷厂，生产军需用品。凭着出众的社交能力和大量的金钱，辛德勒和德军建立了良好的关系，他的工厂雇用犹太人工作，大发战争财。
¿Quieres ser mi hijo?,(2023),2023-09-21 (US),"喜剧, 爱情",1h 40m,85,-,Ihtzi Hurtado,未知,"Lucía, Javier, La Avispa, Maguis, María, Jorge, Lucía (15 años)",简介,"Lu, a conformist woman in her forties, learns that her 15-year partner has been having extramarital affairs. Starting from scratch, she gets involved in an unexpected relationship with a young womanizer."
十二怒汉,(1957),1959-08-01 (JP),剧情,1h 36m,86,英语,雷金纳德·罗斯,西德尼·吕美特,"Juror 1, Juror 2, Juror 3, Juror 4, Juror 5, Juror 6, Juror 7, Juror 8, Juror 9",命悬其手，死视其意,西德尼·吕美特执导的本片堪称电影史上最颠覆的法庭剧。这部改编自雷金纳德·罗斯电视剧的经典之作，以密室内群像戏的精炼笔法，透视美国司法体系的肌理，张力十足。亨利·方达饰演的异议者，在由白人男性组成的陪审团中孤身抗辩——其余成员皆急于裁定被控弑父的波多黎各少年有罪。故事在一个闷热的午后、一间汗流浃背的房间里层层推进，最终凝聚成一部史诗规模的思辨传奇。吕美特这部震撼人心的导演处女作，精准捕捉了1950年代美国社会变革的前夜，成就了影史不朽的首作丰碑。
千与千寻,(2001),2001-07-20 (JP),"动画, 家庭, 奇幻",2h 5m,85,日语,宫崎骏,未知,"Chihiro (voice), Haku (voice), Yubaba / Zeniba (voice), Father (voice), Mother (voice), Aogaeru (voice), Boh (voice), Rin (voice), Bandai Frog (voice)",隧道的另一头，是不可思议的小镇,小女孩千寻被困在一个陌生的精灵世界。当她的父母发生神秘变化后，她必须鼓起自己从未发现的勇气，才能解救自己，并将家人带回外面的世界。
Selena Gomez: My Mind & Me,(2022),2022-11-04 (JP),"纪录, 音乐",1h 35m,85,-,阿莱克·凯西西恩,Paul Marchand,"Self, Self, Self, Self, Self, Self, Self, Self, Self","Every breath, a breakthrough.",在聚光灯下多年之后，赛琳娜·戈麦斯获得了难以想象的明星地位。但就在她到达一个新的高峰时，一个意外的转折把她拉进了黑暗。这部独特的、亲密的纪录片跨越了她六年的旅程，展现了她新的光芒。
蝙蝠侠：黑暗骑士,(2008),2008-07-28 (JP),"动作, 犯罪, 惊悚",2h 32m,85,英语,克里斯托弗·诺兰,鲍勃·凯恩,"Bruce Wayne, Joker, Harvey Dent, Alfred, Rachel, Gordon, Lucius Fox, Ramirez, Wuertz",黎明前的夜是最漆黑的,蝙蝠侠在打击犯罪的战争中加大了赌注。在吉姆·戈登警长与地方检察官哈维·丹特的协助下，蝙蝠侠决心清除肆虐哥谭街头的残余犯罪组织。这一联手行动卓有成效，但他们很快发现自己沦为了一场混沌统治的猎物——这场混乱由一位新兴犯罪大师所掀动，惶恐的哥谭市民称他为“小丑”。[华纳兄弟影业]
勇夺芳心,(1995),1995-10-20 (IN),"喜剧, 剧情, 爱情",3h 10m,85,印地语,Aditya Chopra,未知,"Simran Singh, Raj Malhotra, Chaudhry Baldev Singh, Lajwanti 'Lajjo' Singh, Dharamvir Malhotra, Rajeshwari ""Chutki"" Singh, Kuljeet Singh, Ajit Singh, Kuljeet's Father, Preeti Singh, Kuljeet's Sister","Come… Fall In love, All Over Again…",乔德利和妻子结婚多年，一直十分恩爱。两人共同养育了两个女儿希姆莱和图吉，两个姑娘都出落得亭亭玉立。一晃眼，希姆莱就到了该嫁人的年纪了，尽管乔德利一家人已经在伦敦生活了二十多年了，但乔德利骨子里依旧是一个传统的印度人。乔德利将希姆莱许配给了朋友的儿子库杰，这让希姆莱感到十分不满。一次偶然中，希姆莱邂逅了名为拉杰的印度男子，尽管拉杰为人轻浮，油腔滑调，但希姆莱还是同他坠入了情网。得知此事的乔德利举家迁回了印度，拉杰亦紧跟其后，他要如何才能获得乔德利的认可呢？
绿里奇迹,(1999),2000-03-25 (JP),"奇幻, 剧情, 犯罪",3h 9m,85,英语,弗兰克·德拉邦特,斯蒂芬·金,"Paul Edgecomb, Brutus 'Brutal' Howell, Jan Edgecomb, John Coffey, Warden Hal Moores, Eduard Delacroix, Arlen Bitterbuck, Percy Wetmore, 'Wild Bill' Wharton",保罗·埃奇康姆从不相信奇迹。直到他遇见奇迹的那一天。,1935年。美国南部惨淡肃杀的冷山监狱。这里有片一英里长的绿地，人们叫它“绿里”。不过，它的居民皆为死囚，在绿地的另一头，便是行刑用的电椅。保罗·艾治科姆（汤姆·汉 克斯饰）是这里的狱监，对于走过“绿里”、继而在电椅上惨叫毙命的死囚行刑程序，他俨然已无动于衷。除了保罗及其爱妻简外，“绿里”上还有凶残的副狱监豪威尔，有施虐倾向 的狱吏佩西，良心未泯的看守海尔和他身患绝症的妻子美琳达，喜用宠物鼠逗狱吏和诸“难友”取乐的德拉克，连环杀人狂威廉，负疚深重的犯人彼特等一干形形色色的人们。他们之 间充满了敌意和不屑。但神秘的约翰·考夫利的到来改变了一切。考夫利因谋杀两名幼女被 判死罪，他相貌恐怖，体形硕大，却出奇地平和、敏感而缄默，天真时甚至像个孩子，同时， 他似乎还具有一种不可名状的神秘力量，令人不由自主地对其产生信任感，这不禁让艾治科姆对其罪行是否属实深怀疑问。 真情无法取代程式，考夫利终要走过“绿里”。在这个貌似粗鲁的男人即将赴死的刹那，“绿里”上的人们以不同以往的形式实现了各自生命的重要跨越。
指环王3：王者无敌,(2003),2004-02-14 (JP),"冒险, 奇幻, 动作",4h 23m,85,英语,彼得·杰克逊,J.R.R.托尔金,"Frodo, Gandalf, Aragorn, Sam, Gollum / Smeagol, Merry, Pippin, Denethor, Faramir",敌人的邪眼在移动,索伦大军为剿灭人类种族，已对刚铎都城米那斯提力斯展开围攻。这座昔日的伟大王国由一位日渐衰弱的摄政王守护，此刻比任何时候都更需要它的王者归来。但阿拉贡能否回应血脉的召唤，成为命定之君？中土世界的命运，正系于他宽阔的双肩。
寄生虫,(2019),2019-12-27 (JP),"喜剧, 惊悚, 剧情",2h 12m,85,朝鲜语,奉俊昊,韩进元,"Kim Ki-taek, Park Dong-ik, Yeon-kyo, Ki-woo, Ki-jung, Moon-gwang, Chung-sook, Geun-se, Da-hye",表现得好像这个地方是你的似的。,这部定义时代精神的惊世之作，将全球范围内对阶级不平等的审视浓缩为一场流行电影的反叛风暴。奉俊昊导演以这部打破类型桎梏的黑色喜剧惊悚片，奠定了其世界顶尖电影作者的地位。故事聚焦首尔的两个家庭——一户在低洼社区潮湿半地下室里挣扎求生的底层家庭，另一户则居住于可俯瞰城市的现代建筑奇观中尽享奢华。当两家人的命运因危险关系交织在一起时，资本主义的黑暗裂隙以惊人之势被彻底撕裂。影片凭借导演精心构建的戏剧场景、出色的群像演绎与震撼的视觉设计，成为一部技艺卓绝的典范之作。从戛纳到奥斯卡，横扫几乎所有国际至高奖项，更以首部非英语片问鼎最佳影片的历史性突破，宣告韩国新电影已成为不可忽视的世界力量。
低俗小说,(1994),1994-10-08 (JP),"惊悚, 犯罪, 喜剧",2h 34m,85,英语,昆汀·塔伦蒂诺,罗杰·阿瓦里,"Vincent Vega, Jules Winnfield, Mia Wallace, Butch Coolidge, Marsellus Wallace, The Wolf, Lance, Pumpkin, Honey Bunny",仅仅因为你是一个角色并不意味着你有角色。,数段相互勾连的罪案谜局，在洛杉矶的地下世界交织成一副时空交错的拼图。
你的名字。,(2016),2016-08-26 (JP),"动画, 爱情, 剧情",1h 46m,85,日语,新海诚,未知,"Taki Tachibana (voice), Mitsuha Miyamizu (voice), Katsuhiko Teshigawara (voice), Sayaka Natori (voice), Tsukasa Fujii (voice), Shinta Takagi (voice), Yotsuha Miyamizu (voice), Toshiki Miyamizu (voice), Futaha Miyamizu (voice)",我正在寻觅未曾相识的你。,彗星降临之夜，两个生命的轨迹就此改变。高中生三叶与泷本是素不相识的陌生人，过着各自的生活。然而某夜，他们突然互换了身体——三叶在泷的身体中醒来，泷则进入了她的人生。这种奇异的现象持续随机发生，两人不得不互相迁就，调整生活节奏。出人意料的是，他们渐渐磨合出默契，通过留言、讯息，更重要的是，通过留在彼此生命中的印记建立起联结。当璀璨的彗星点亮夜空时，他们终于醒悟：渴望从这份羁绊中获得更多——一个真正见面的机会，一次真正了解彼此的相遇。他们牵起命运的丝线，试图寻找通向对方的路。然而阻隔他们的，不仅仅是距离。这份牵绊，是否足以对抗时间残酷的捉弄？抑或他们的相遇，终究只是对星辰许下的愿望？[FUNimation]
星际穿越,(2014),2014-11-22 (JP),"冒险, 剧情, 科幻",2h 49m,85,英语,克里斯托弗·诺兰,乔纳森·诺兰,"Cooper, Brand, Professor Brand, Murph, Tom, Doyle, Getty, Murph (10 Yrs.), Murph (older)",人类的下一步将迈向非凡,近未来的地球黄沙遍野，小麦、秋葵等基础农作物相继因枯萎病灭绝，人类不再像从前那样仰望星空，放纵想象力和灵感的迸发，而是每日在沙尘暴的肆虐下倒数着所剩不多的光景。在家务农的前NASA宇航员库珀接连在女儿墨菲的书房发现奇怪的重力场现象，随即得知在某个未知区域内前NASA成员仍秘密进行一个拯救人类的计划。多年以前土星附近出现神秘虫洞，NASA借机将数名宇航员派遣到遥远的星系寻找适合居住的星球。在布兰德教授的劝说下，库珀忍痛告别了女儿，和其他三名专家教授女儿艾米莉亚·布兰德、罗米利、多伊尔搭乘宇宙飞船前往目前已知的最有希望的三颗星球考察。他们穿越遥远的星系银河，感受了一小时七年光阴的沧海桑田，窥见了未知星球和黑洞的壮伟与神秘。在浩瀚宇宙的绝望而孤独角落，总有一份超越了时空的笃定情怀将他们紧紧相连……
黄金三镖客,(1966),1967-12-30 (JP),西部,2h 41m,85,意大利语,赛尔乔·莱昂内,卢西亚诺·文森佐尼,"Blondie, Tuco Ramirez, Sentenza / Angel Eyes, Alcoholic Union Captain, Father Pablo Ramirez, Maria, Storekeeper, Tuco Henchman, Bill Carson / Jackson",对这三人来说内战不是地狱，是天堂。,对三个男人而言，内战并非地狱……而只是热身！克林特·伊斯特伍德再度化身“无名客”，此番联手两名枪手，共同追寻一批价值20万美元的黄金，决不让任何人阻挡——哪怕是内战中的交战派系。
阿甘正传,(1994),1995-02-18 (JP),"喜剧, 剧情, 爱情",2h 22m,85,英语,罗伯特·泽米吉斯,温斯顿·格鲁姆,"Forrest Gump, Jenny Curran, Lieutenant Dan Taylor, Mrs. Gump, Bubba Blue, Young Forrest Gump, Young Jenny Curran, Forrest Junior, School Bus Driver",人生就像一盒巧克力，你永远不知道下一块会是什么味道,透过被命运眷顾的单纯者阿甘的双眼，全景式展现了美国历史上动荡的三十年。
人类,(2015),2015-09-12 (FR),纪录,3h 11m,85,法语,Yann Arthus-Bertrand,未知,,简介,"每个人背后都有一个足以撼动心灵的故事。法国知名的摄影师Yann Arthus-Bertrand就用了3年的时间，走访全球60个国家，让2,020位不同肤色、种族、性别的人，在镜头前诉说自己的故事。由乌克兰的自由战士、马里的农民，到美国的死囚，各人的故事集结成一部纪录片《人类》。纪录片中，受访者只站在纯黑色的背景中细诉自己的故事，没有花巧的剪接，甚至不多赘述受访者的身份。每个人自身的经历，足以为观众带来震撼。"
七武士,(1954),1954-04-26 (JP),"动作, 剧情",3h 27m,85,日语,黑泽明,桥本忍,"Kikuchiyo, Kambei Shimada, Gorobei Katayama, Kyuzo, Heihachi Hayashida, Shichiroji, Katsushiro Okamoto, Shino, Rikichi's Wife",在悬念和场面方面无与伦比！,这部影史最具震撼力的史诗巨制，讲述十六世纪某村庄的绝望村民雇佣七位武士抵御山贼侵袭的故事。黑泽明历时三个多小时的银幕征程，通过传奇演员三船敏郎与志村乔的演绎，将哲学沉思与娱乐观赏、细腻人情与激烈战斗完美交融，铸就这部关于勇气与希望的丰碑之作——其故事之丰饶、意境之深远，令人过目难忘。
